KPI,DESCRIPTION,TABLE,COMBINED_DESCRIPTION
Instant_og_call_count,Number of outgoing calls made,Instant,"Customer-initiated outgoing calls per day, revealing communication habits and network usage patterns, thereby informing optimization strategies."
Instant_og_call_count,Number of outgoing calls made,Instant,"Cumulative count of customer-initiated outgoing calls, offering a snapshot of the volume of outbound communications and customer engagement."
Instant_og_call_count,Number of outgoing calls made,Instant,"The number of daily outgoing calls measures the network's ability to facilitate customer interactions, reflecting its capacity to handle and process communication demands."
Instant_og_call_count,Number of outgoing calls made,Instant,"Outbound communication attempts made by customers and agents within a 24-hour period, measuring the frequency and volume of outgoing calls."
Instant_og_call_count,Number of outgoing calls made,Instant,Cumulative total of outgoing calls originated from our network since the start of the day.
Instant_og_call_count,Number of outgoing calls made,Instant,"Cumulative volume of customer-initiated outgoing calls, offering a real-time snapshot of network voice service demand and usage patterns."
Instant_ic_call_revenue,Revenue generated from incoming calls.,Instant,"Daily call revenue generated from incoming customer interactions, measuring the financial outcome of conversations and transactions facilitated through the company's communication channels."
Instant_ic_call_revenue,Revenue generated from incoming calls.,Instant,"Revenue generated from incoming calls, reflecting the financial outcome of call volume and its influence on the business's financial performance."
Instant_ic_call_revenue,Revenue generated from incoming calls.,Instant,"Revenue from incoming calls today, signifying immediate call revenue performance and serving as a crucial metric for instant assessment."
Instant_ic_call_revenue,Revenue generated from incoming calls.,Instant,"Financial returns from inbound calls, measuring the monetary value of customer interactions and transactions facilitated through incoming calls."
Instant_ic_call_revenue,Revenue generated from incoming calls.,Instant,"Revenue generated from incoming customer calls, reflecting the financial impact of customer engagement and interactions with the company's services."
Instant_ic_call_revenue,Revenue generated from incoming calls.,Instant,"Financial gains from immediate incoming calls, reflecting the instant revenue generated by incoming calls received."
Instant_og_call_revenue,Revenue generated from outgoing calls.,Instant,"Financial performance of outgoing calls, measured by revenue generated, gauging the effectiveness of call management strategies and their impact on business growth."
Instant_og_call_revenue,Revenue generated from outgoing calls.,Instant,"Financial returns from customer-driven voice interactions, measuring the revenue generated from outgoing calls."
Instant_og_call_revenue,Revenue generated from outgoing calls.,Instant,"Today's revenue generated from customer-initiated outgoing calls, reflecting the financial outcome of customer-driven communication activities."
Instant_og_call_revenue,Revenue generated from outgoing calls.,Instant,"Revenue generated from outgoing calls, measuring the financial outcome of customer interactions via voice communication and reflecting the company's voice-based business performance."
Instant_og_call_revenue,Revenue generated from outgoing calls.,Instant,"Today's revenue from customer-initiated calls to external parties, measuring the financial outcome of customer-driven interactions with our organization."
Instant_og_call_revenue,Revenue generated from outgoing calls.,Instant,"Today's revenue generated from outgoing calls, reflecting the financial performance of our sales and customer service teams."
Instant_og_bundle_call_revenue,Revenue from outgoing calls using bundles.,Instant,"Financial performance of bundled services measured by daily revenue generated from outgoing calls, reflecting customer adoption and call volume."
Instant_og_bundle_call_revenue,Revenue from outgoing calls using bundles.,Instant,"Revenue generated daily from bundled plans' outbound calls, reflecting the financial impact of bundled services on customer relationships."
Instant_og_bundle_call_revenue,Revenue from outgoing calls using bundles.,Instant,"Daily revenue generated from bundled outgoing calls, measuring the financial success of bundled services in a single day."
Instant_og_bundle_call_revenue,Revenue from outgoing calls using bundles.,Instant,"Revenue generated from bundled plans' outgoing calls, indicating customer adoption and service utilization, reflecting business growth and customer loyalty."
Instant_og_bundle_call_revenue,Revenue from outgoing calls using bundles.,Instant,Daily sales performance and customer adoption of value-added services reflected in revenue generated from bundled plan outgoing calls.
Instant_og_bundle_call_revenue,Revenue from outgoing calls using bundles.,Instant,"Revenue generated from daily voice calls made by customers under bundled plans, representing their spend on voice services within a specific timeframe."
Instant_og_payg_call_revenue,Revenue from outgoing pay-as-you-go calls.,Instant,"Today's pay-as-you-go call revenue, reflecting the financial outcome of customer usage and operator-provided services, directly impacting the company's bottom line."
Instant_og_payg_call_revenue,Revenue from outgoing pay-as-you-go calls.,Instant,"Today's revenue from pay-as-you-go outgoing calls, illustrating the financial outcome of customer voice usage and operator earnings from voice services."
Instant_og_payg_call_revenue,Revenue from outgoing pay-as-you-go calls.,Instant,"Daily revenue from customer-initiated pay-as-you-go calls, representing the instant earnings from outgoing calls made on a daily basis."
Instant_og_payg_call_revenue,Revenue from outgoing pay-as-you-go calls.,Instant,"Daily earnings from customers' pay-as-you-go outgoing calls, reflecting the immediate financial impact of their usage on the company's revenue streams."
Instant_og_payg_call_revenue,Revenue from outgoing pay-as-you-go calls.,Instant,"Daily earnings from customer-initiated pay-as-you-go calls, illustrating their calling patterns and expenditure habits."
Instant_og_payg_call_revenue,Revenue from outgoing pay-as-you-go calls.,Instant,"Immediate financial gain from pay-as-you-go customers, reflecting the direct impact of their outgoing calls on today's revenue."
Instant_og_free_call_revenue,Revenue from outgoing calls that are free ,Instant,"Financial losses resulting from free outgoing calls, directly affecting today's revenue and profitability."
Instant_og_free_call_revenue,Revenue from outgoing calls that are free,Instant,"Revenue lost due to free outgoing calls, measuring the financial impact on daily earnings."
Instant_og_free_call_revenue,Revenue from outgoing calls that are free,Instant,"Revenue generated from outgoing calls with no associated costs, providing customers with a seamless and cost-effective communication experience."
Instant_og_free_call_revenue,Revenue from outgoing calls that are free ,Instant,"Revenue from free outgoing calls, reflecting the company's provision of costless communication services to customers."
Instant_og_free_call_revenue,Revenue from outgoing calls that are free ,Instant,"Revenue generated from outgoing calls with no associated costs, positively impacting the company's financial standing."
Instant_og_free_call_revenue,Revenue from outgoing calls that are free ,Instant,"Revenue generated from free outgoing calls, revealing the financial effect of zero-charging on daily earnings and profit margins."
Instant_og_local_call_revenue,Revenue from outgoing local calls.,Instant,"Revenue generated from subscribers' outgoing local calls, measuring the financial contribution of their voice communications to the network's overall income."
